Gene	Length		a1	a2	a3	a4	a5	a6	a7	ab8	b1	b2	b3	b4	b6
net	4966		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zir	7347		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11377	1762		NA	NA	NA	NA	NA	NA	00001024682L	NA	00001024682L	NA	NA	NA	NA
Nhe1	2770		NA	NA	NA	NA	NA	NA	00001024682L	NA	00001024682L	NA	NA	NA	NA
Sam-S	7529		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ND-15	41304		NA	0000003847;0000003848	00001302392L	0000000649	NA	0000000649	NA	0000000650;00001294352L	0000000651	NA	NA	NA	NA
CG13694	1123		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4822	4784		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3164	8167		NA	NA	00001302392L	NA	NA	NA	NA	00001294352L	NA	NA	NA	NA	NA
CR44969	1194		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gs1	2395		NA	NA	00001302392L	NA	NA	NA	NA	00001294352L	NA	NA	NA	NA	NA
CR44185	726		NA	NA	00001302392L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44186	557		NA	NA	00001302392L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31974	2014		NA	NA	NA	NA	NA	NA	NA	NA	0000000651	NA	NA	NA	NA
CG11454	904		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42399	9069		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3709	1766		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3436	1637		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33635	828		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spen	44365		NA	NA	NA	0000011194;0000011195	NA	0000011194;0000011195	0000011195	0000011195	0000000652	NA	0000003849	NA	0000003850
mRpL10	1003		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11617	2554		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	00002048192L
Tbc1d15-17	3546		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kis	40088		NA	NA	0000003851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44220	399		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44222	1189		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44221	551		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:kis-a	87		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13693	1721		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-965	106		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44218	903		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rpp30	1334		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3645	19155		NA	NA	NA	NA	NA	0000003853;0000003854	NA	NA	NA	NA	NA	0000003852	NA
CG17075	7556		NA	NA	NA	NA	NA	0000003854	NA	NA	NA	NA	NA	NA	NA
CR44219	800		NA	NA	NA	NA	NA	0000003854	NA	NA	NA	NA	NA	NA	NA
CG3345	2538		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbm	1803		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11555	930		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17078	3494		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
smo	4585		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11601	1599		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3625	8410		0000003855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46262	448		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
