Gene	length
128up	1554
140up	1386
14-3-3epsilon	8020
14-3-3zeta	10011
18SrRNA:CR41548	1995
18SrRNA:CR45838	1995
18SrRNA:CR45841	1995
18SrRNA-Psi:CR41602	1975
18SrRNA-Psi:CR45861	1934
18w	5422
26-29-p	2341
28SrRNA:CR45837	2715
28SrRNA:CR45844	3970
28SrRNA-Psi:CR40596	6005
28SrRNA-Psi:CR40741	1258
28SrRNA-Psi:CR41609	895
28SrRNA-Psi:CR45848	821
28SrRNA-Psi:CR45851	2800
28SrRNA-Psi:CR45853	255
28SrRNA-Psi:CR45855	704
28SrRNA-Psi:CR45859	2689
28SrRNA-Psi:CR45860	357
28SrRNA-Psi:CR45862	2004
2mit	33737
2SrRNA:CR45836	30
2SrRNA:CR45840	30
2SrRNA:CR45843	30
2SrRNA:CR45864	30
2SrRNA-Psi:CR40677	30
2SrRNA-Psi:CR45850	30
2SrRNA-Psi:CR45858	30
312	1738
4E-T	6851
5.8SrRNA:CR40454	123
5.8SrRNA:CR45839	123
5.8SrRNA:CR45842	123
5.8SrRNA:CR45852	123
5.8SrRNA-Psi:CR45849	123
5.8SrRNA-Psi:CR45854	123
5.8SrRNA-Psi:CR45857	123
5.8SrRNA-Psi:CR45863	123
5-HT1A	54804
5-HT1B	10318
5-HT2A	20435
5-HT2B	51792
5-HT7	48640
5PtaseI	4725
5SrRNA:CR33353	135
5SrRNA:CR33354	135
5SrRNA:CR33355	135
5SrRNA:CR33357	135
5SrRNA:CR33358	135
5SrRNA:CR33359	135
5SrRNA:CR33360	135
5SrRNA:CR33361	135
5SrRNA:CR33362	135
5SrRNA:CR33364	135
5SrRNA:CR33365	135
5SrRNA:CR33366	135
5SrRNA:CR33367	135
5SrRNA:CR33368	135
5SrRNA:CR33369	135
5SrRNA:CR33370	135
5SrRNA:CR33372	135
5SrRNA:CR33373	135
5SrRNA:CR33374	135
5SrRNA:CR33375	135
5SrRNA:CR33376	135
5SrRNA:CR33377	135
5SrRNA:CR33378	135
5SrRNA:CR33379	135
5SrRNA:CR33380	135
5SrRNA:CR33381	135
5SrRNA:CR33382	135
5SrRNA:CR33383	135
5SrRNA:CR33384	135
5SrRNA:CR33385	135
5SrRNA:CR33386	135
5SrRNA:CR33387	135
5SrRNA:CR33388	135
5SrRNA:CR33389	135
5SrRNA:CR33390	135
5SrRNA:CR33391	134
5SrRNA:CR33392	135
5SrRNA:CR33393	135
5SrRNA:CR33394	135
5SrRNA:CR33395	135
5SrRNA:CR33396	135
5SrRNA:CR33397	135
5SrRNA:CR33398	135
5SrRNA:CR33399	135
5SrRNA:CR33400	135
5SrRNA:CR33401	135
5SrRNA:CR33402	135
5SrRNA:CR33403	135
5SrRNA:CR33404	135
5SrRNA:CR33405	134
5SrRNA:CR33406	135
5SrRNA:CR33407	135
5SrRNA:CR33408	135
